NIK,Nama Subjek,Kecamatan Domisili,Kategori Usaha,Status Bantuan,Usia,Take Home Pay
3201015501900001,Dewi Sartika,Cilandak,Kuliner & UMKM,Penerima,29,7500000
3201011204850002,Budi Utomo,Kebayoran Baru,Perdagangan Grosir,Bukan Penerima,42,8800000
3201016508920003,Siti Nurbaya,Pasar Minggu,Jasa Keuangan,Penerima,34,9200000
3201012003780004,Teuku Umar,Cilandak,Teknologi,Bukan Penerima,47,15000000
3201014811950005,Cut Nyak Dien,Jagakarsa,Kesehatan,Penerima,25,6100000
3201010506820006,Pangeran Diponegoro,Pancoran,Konstruksi,Bukan Penerima,50,11400000
3201015209980007,Kartini,Cilandak,Teknologi,Penerima,23,6900000
3201011502750008,Gajah Mada,Kebayoran Baru,Transportasi,Penerima,55,5200000
3201014101910009,Malahayati,Pasar Minggu,Pemasaran Digital,Bukan Penerima,31,10800000
3201012210880010,Sultan Hasanuddin,Jagakarsa,Pertanian,Penerima,38,4900000
