nomor_induk_kependudukan,nomor_kartu_keluarga,nama,tanggal_lahir,usia,jenis_kelamin,status_hubungan_keluarga,status_kawin,gaji_bulanan,gaji,desil_nasional,desil,provinsi,kabupaten_kota,kecamatan,kelurahan_desa,alamat,status_bantuan,pbi_nasional,pbi_pemda,partisipasi_sekolah,jenjang_tertinggi_yang_diduduki,ijazah_tertinggi_yang_dimiliki,status_bekerja,lapangan_usaha_dari_pekerjaan_utama,status_dalam_pekerjaan_utama,id_pelanggan_pln,daya_terpasang,status_kepemilikan_rumah,jenis_lantai_terluas,jenis_dinding_terluas,jenis_atap_terluas,sumber_air_minum_utama,sumber_penerangan_utama,bahan_bakar_utama_memasak,fasilitas_bab,jenis_kloset,pembuangan_akhir_tinja,kepemilikan_aset,aset_bergerak_sepeda_motor,aset_bergerak_mobil,aset_bergerak_tv_datar,aset_bergerak_smartphone,aset_bergerak_lemari_es,kondisi_gizi,penglihatan,pendengaran,berjalan_atau_naik_tangga
3201011370000001,3201012010180001,Hendra Kusuma,1969-03-24,57,Laki-laki,Kepala Keluarga,Kawin/Nikah,2738352.0,2738352.0,4,4,Jawa Barat,Kota Bogor,Bogor Tengah,Paledang,Jl. Pajajaran No. 1,PBI APBD (Pemda),Tidak,Ya,Belum Sekolah,Sarjana (S1),Sarjana (S1),Ya,Industri pengolahan,Pekerja keluarga/tidak dibayar,532100000001,2200 VA,Kontrak/Sewa,Kayu/Papan,Plesteran Anyaman Bambu,Seng,Air Kemasan/Isi Ulang,Listrik PLN Tanpa Meteran,Biogas,Tidak Ada,Cemplung/Cubluk,Kolam/Sawah/Sungai/Danau/Laut,Ya,Ya,Ya,Tidak,Ya,Ya,Kurang Gizi,Tidak Ada Gangguan,Gangguan Ringan,Gangguan Ringan
3201011895000002,3201012010180001,Siti Suryani,1989-02-13,37,Perempuan,Kepala Keluarga,Cerai Hidup,2797129.0,2797129.0,1,1,Jawa Barat,Kota Bogor,Bogor Tengah,Paledang,Jl. Pajajaran No. 2,PBI APBD (Pemda),Tidak,Ya,Tidak Sekolah Lagi,SD/MI,SD/MI,Ya,"Pertanian, kehutanan, dan perikanan",Berusaha dibantu pekerja tidak tetap,532100000001,1300 VA,Dinas,Tanah,Bambu,Genteng Beton/Keramik,Sumur Bor/Pompa,Listrik Non PLN,LPG 5.5 kg / 12 kg,Umum,Leher Angsa,Lubang Tanah,Ya,Ya,Ya,Tidak,Tidak,Tidak,Resiko Stunting,Gangguan Berat,Tidak Ada Gangguan,Tidak Ada Gangguan
3201011195000003,3201012010180001,Cut Wijaya,1972-02-07,54,Perempuan,Anak,Belum Kawin,9049128.0,9049128.0,3,3,Jawa Barat,Kota Bogor,Bogor Tengah,Paledang,Jl. Pajajaran No. 3,PBI APBD (Pemda),Tidak,Ya,Belum Sekolah,Sarjana (S1),Sarjana (S1),Tidak,Transportasi & Pergudangan,Pekerja keluarga/tidak dibayar,532100000001,2200 VA,Bebas Sewa,Ubin/Teraso,Kayu,Beton,Sumur Terlindung,Listrik PLN Dengan Meteran,LPG 3 kg,Sendiri,Plengsengan,Lubang Tanah,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Wasting,Tidak Ada Gangguan,Tuli Total,Tidak Bisa Berjalan
3201011391000004,3201012010180002,Tri Setiawan,2004-11-11,22,Laki-laki,Kepala Keluarga,Cerai Hidup,9006110.0,9006110.0,9,9,Jawa Barat,Kota Bandung,Coblong,Dago,Jl. Ganesha No. 4,PBI APBD (Pemda),Tidak,Ya,Belum Sekolah,SD/MI,SD/MI,Tidak,Industri pengolahan,Berusaha sendiri,532100000002,1300 VA,Kontrak/Sewa,Bambu,Plesteran Anyaman Bambu,Genteng Tanah Liat,Mata Air Terlindung,Listrik Non PLN,Minyak Tanah,Sendiri,Leher Angsa,Kolam/Sawah/Sungai/Danau/Laut,Ya,Tidak,Ya,Ya,Ya,Ya,Normal,Buta Total,Tidak Ada Gangguan,Tidak Bisa Berjalan
3201011474000005,3201012010180002,Nur Sartika,1971-09-28,55,Perempuan,Orang Tua/Mertua,Belum Kawin,6887377.0,6887377.0,7,7,Jawa Barat,Kota Bandung,Coblong,Dago,Jl. Ganesha No. 5,PKH & BPNT,Tidak,Tidak,Tidak Sekolah Lagi,Sarjana (S1),Sarjana (S1),Tidak,"Pertanian, kehutanan, dan perikanan",Berusaha sendiri,532100000002,900 VA,Milik Sendiri,Semen/Bata Merah,Tembok,Beton,Mata Air Terlindung,Listrik PLN Tanpa Meteran,Kayu Bakar,Bersama,Leher Angsa,Tangki Septik,Ya,Ya,Ya,Ya,Ya,Tidak,Normal,Gangguan Ringan,Gangguan Ringan,Tidak Bisa Berjalan
3201012576000006,3201012010180002,Tri Nyak Dien,2001-10-19,25,Laki-laki,Orang Tua/Mertua,Belum Kawin,2491896.0,2491896.0,2,2,Jawa Barat,Kota Bandung,Coblong,Dago,Jl. Ganesha No. 6,PBI APBN + PKH,Ya,Tidak,Tidak Sekolah Lagi,Diploma (D1-D4),Diploma (D1-D4),Tidak,Penyediaan Akomodasi & Makan Minum,Buruh/Karyawan/Pegawai,532100000002,Tanpa PLN,Milik Sendiri,Keramik,Seng,Bambu/Ijuk,Sumur Bor/Pompa,Listrik PLN Dengan Meteran,LPG 5.5 kg / 12 kg,Bersama,Plengsengan,Pantai/Tanah Lapang/Kebun,Ya,Ya,Tidak,Ya,Tidak,Tidak,Resiko Stunting,Tidak Ada Gangguan,Gangguan Ringan,Tidak Bisa Berjalan
3201011371000007,3201012010180003,Tri Santoso,1960-04-06,66,Laki-laki,Orang Tua/Mertua,Cerai Mati,2509481.0,2509481.0,3,3,Jawa Tengah,Kota Semarang,Semarang Selatan,Randusari,Jl. Pandanaran No. 7,PBI APBN + PKH,Ya,Tidak,Masih Sekolah,Diploma (D1-D4),Diploma (D1-D4),Tidak,Penyediaan Akomodasi & Makan Minum,Pekerja bebas,532100000003,2200 VA,Dinas,Ubin/Teraso,Kayu,Seng,Layanan Perpipaan (PDAM),Listrik PLN Dengan Meteran,Kayu Bakar,Sendiri,Cemplung/Cubluk,Tangki Septik,Ya,Ya,Tidak,Ya,Ya,Ya,Resiko Stunting,Tidak Ada Gangguan,Tuli Total,Tidak Ada Gangguan
3201011782000008,3201012010180003,Dewi Kusuma,1992-10-02,34,Perempuan,Kepala Keluarga,Cerai Mati,9585419.0,9585419.0,4,4,Jawa Tengah,Kota Semarang,Semarang Selatan,Randusari,Jl. Pandanaran No. 8,PKH & BPNT,Tidak,Tidak,Masih Sekolah,SMA/SMK/MA,SMA/SMK/MA,Tidak,Jasa keuangan & asuransi,Pekerja bebas,532100000003,2200 VA,Bebas Sewa,Keramik,Tembok,Asbes,Mata Air Terlindung,Listrik PLN Dengan Meteran,LPG 3 kg,Bersama,Cemplung/Cubluk,Lubang Tanah,Ya,Tidak,Ya,Ya,Tidak,Tidak,Resiko Stunting,Buta Total,Tuli Total,Tidak Bisa Berjalan
3201011989000009,3201012010180003,Agus Santoso,1997-09-10,29,Laki-laki,Kepala Keluarga,Belum Kawin,3342071.0,3342071.0,5,5,Jawa Tengah,Kota Semarang,Semarang Selatan,Randusari,Jl. Pandanaran No. 9,PKH & BPNT,Tidak,Tidak,Belum Sekolah,SMP/MTs,SMP/MTs,Tidak,Industri pengolahan,Pekerja bebas,532100000003,3500 VA,Dinas,Semen/Bata Merah,Tembok,Genteng Tanah Liat,Air Hujan,Bukan Listrik,Listrik,Sendiri,Leher Angsa,Kolam/Sawah/Sungai/Danau/Laut,Ya,Ya,Tidak,Ya,Tidak,Tidak,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Bisa Berjalan
3201011487000010,3201012010180004,Siti Hidayat,1992-09-05,34,Perempuan,Orang Tua/Mertua,Belum Kawin,1587721.0,1587721.0,6,6,Jawa Timur,Kota Surabaya,Tegalsari,Kedungdoro,Jl. Basuki Rahmat No. 10,PBI APBD (Pemda),Tidak,Ya,Belum Sekolah,SMP/MTs,SMP/MTs,Ya,Administrasi pemerintahan,Pekerja keluarga/tidak dibayar,532100000004,2200 VA,Kontrak/Sewa,Ubin/Teraso,Kayu,Genteng Beton/Keramik,Sumur Terlindung,Listrik PLN Dengan Meteran,LPG 5.5 kg / 12 kg,Umum,Tidak Ada Kloset,Lubang Tanah,Ya,Tidak,Ya,Ya,Tidak,Ya,Kurang Gizi,Gangguan Ringan,Tidak Ada Gangguan,Gangguan Ringan
3201012179000011,3201012010180004,Rina Kusuma,1956-11-07,70,Perempuan,Orang Tua/Mertua,Cerai Hidup,13445627.0,13445627.0,9,9,Jawa Timur,Kota Surabaya,Tegalsari,Kedungdoro,Jl. Basuki Rahmat No. 11,PKH & BPNT,Tidak,Tidak,Masih Sekolah,SD/MI,SD/MI,Tidak,Jasa keuangan & asuransi,Pekerja keluarga/tidak dibayar,532100000004,1300 VA,Milik Sendiri,Keramik,Plesteran Anyaman Bambu,Asbes,Sumur Bor/Pompa,Listrik Non PLN,Minyak Tanah,Sendiri,Tidak Ada Kloset,Lubang Tanah,Ya,Tidak,Ya,Tidak,Ya,Ya,Wasting,Buta Total,Tidak Ada Gangguan,Tidak Bisa Berjalan
3201012089000012,3201012010180004,Cut Pratama,2001-05-17,25,Perempuan,Anak,Cerai Mati,3943894.0,3943894.0,4,4,Jawa Timur,Kota Surabaya,Tegalsari,Kedungdoro,Jl. Basuki Rahmat No. 12,PBI APBN + PKH,Ya,Tidak,Belum Sekolah,Diploma (D1-D4),Diploma (D1-D4),Ya,Konstruksi,Berusaha dibantu pekerja tidak tetap,532100000004,3500 VA,Milik Sendiri,Semen/Bata Merah,Bambu,Genteng Beton/Keramik,Sumur Terlindung,Listrik Non PLN,Minyak Tanah,Tidak Ada,Tidak Ada Kloset,Lubang Tanah,Ya,Tidak,Ya,Ya,Tidak,Tidak,Normal,Gangguan Ringan,Tuli Total,Gangguan Ringan
3201011795000013,3201012010180005,Rahmat Nyak Dien,1956-01-08,70,Laki-laki,Orang Tua/Mertua,Kawin/Nikah,16525922.0,16525922.0,8,8,Banten,Kota Tangerang,Tangerang,Sukarasa,Jl. Merdeka No. 13,PBI APBN + PKH,Ya,Tidak,Masih Sekolah,SMP/MTs,SMP/MTs,Ya,"Pertanian, kehutanan, dan perikanan",Berusaha dibantu pekerja tidak tetap,532100000005,900 VA,Kontrak/Sewa,Tanah,Plesteran Anyaman Bambu,Asbes,Air Kemasan/Isi Ulang,Listrik PLN Tanpa Meteran,LPG 3 kg,Tidak Ada,Plengsengan,Pantai/Tanah Lapang/Kebun,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Kurang Gizi,Buta Total,Gangguan Ringan,Tidak Ada Gangguan
3201011894000014,3201012010180005,Agus Lestari,1995-04-09,31,Laki-laki,Orang Tua/Mertua,Kawin/Nikah,7479311.0,7479311.0,9,9,Banten,Kota Tangerang,Tangerang,Sukarasa,Jl. Merdeka No. 14,PBI APBN (Kemenkes),Ya,Tidak,Masih Sekolah,SMP/MTs,SMP/MTs,Ya,Transportasi & Pergudangan,Berusaha sendiri,532100000005,Tanpa PLN,Kontrak/Sewa,Keramik,Seng,Asbes,Sumur Bor/Pompa,Bukan Listrik,Minyak Tanah,Sendiri,Plengsengan,Pantai/Tanah Lapang/Kebun,Ya,Tidak,Ya,Tidak,Tidak,Ya,Wasting,Gangguan Berat,Gangguan Ringan,Gangguan Ringan
3201012793000015,3201012010180005,Tri Kusuma,1986-04-09,40,Laki-laki,Orang Tua/Mertua,Cerai Mati,16110918.0,16110918.0,3,3,Banten,Kota Tangerang,Tangerang,Sukarasa,Jl. Merdeka No. 15,PBI APBN + PKH,Ya,Tidak,Masih Sekolah,Sarjana (S1),Sarjana (S1),Ya,Transportasi & Pergudangan,Pekerja keluarga/tidak dibayar,532100000005,3500 VA,Milik Sendiri,Keramik,Seng,Genteng Beton/Keramik,Sumur Terlindung,Listrik PLN Tanpa Meteran,LPG 3 kg,Umum,Tidak Ada Kloset,Kolam/Sawah/Sungai/Danau/Laut,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Wasting,Buta Total,Gangguan Ringan,Tidak Ada Gangguan
3201012570000016,3201012010180006,Tri Rahmawati,1977-04-21,49,Laki-laki,Kepala Keluarga,Kawin/Nikah,1565074.0,1565074.0,10,10,Sumatera Utara,Kota Medan,Medan Baru,Petisah Tengah,Jl. Gajah Mada No. 16,PBI APBD (Pemda),Tidak,Ya,Masih Sekolah,SMP/MTs,SMP/MTs,Tidak,"Pertanian, kehutanan, dan perikanan",Pekerja keluarga/tidak dibayar,532100000006,900 VA,Dinas,Tanah,Bambu,Seng,Layanan Perpipaan (PDAM),Listrik PLN Dengan Meteran,LPG 5.5 kg / 12 kg,Umum,Leher Angsa,Tangki Septik,Ya,Tidak,Tidak,Tidak,Ya,Ya,Resiko Stunting,Tidak Ada Gangguan,Tuli Total,Gangguan Ringan
3201011395000017,3201012010180006,Eko Rahmawati,1977-09-14,49,Laki-laki,Anak,Kawin/Nikah,10606133.0,10606133.0,8,8,Sumatera Utara,Kota Medan,Medan Baru,Petisah Tengah,Jl. Gajah Mada No. 17,PBI APBN (Kemenkes),Ya,Tidak,Tidak Sekolah Lagi,SMA/SMK/MA,SMA/SMK/MA,Tidak,Jasa keuangan & asuransi,Berusaha dibantu pekerja tidak tetap,532100000006,900 VA,Bebas Sewa,Bambu,Plesteran Anyaman Bambu,Asbes,Sumur Terlindung,Bukan Listrik,Biogas,Umum,Cemplung/Cubluk,Lubang Tanah,Ya,Ya,Tidak,Tidak,Ya,Tidak,Kurang Gizi,Gangguan Berat,Tidak Ada Gangguan,Gangguan Ringan
3201012075000018,3201012010180006,Nur Wibowo,1977-05-11,49,Perempuan,Anak,Cerai Hidup,3121288.0,3121288.0,2,2,Sumatera Utara,Kota Medan,Medan Baru,Petisah Tengah,Jl. Gajah Mada No. 18,PBI APBD (Pemda),Tidak,Ya,Belum Sekolah,Diploma (D1-D4),Diploma (D1-D4),Tidak,Industri pengolahan,Berusaha dibantu pekerja tidak tetap,532100000006,Tanpa PLN,Dinas,Kayu/Papan,Tembok,Genteng Tanah Liat,Sumur Bor/Pompa,Listrik PLN Tanpa Meteran,Minyak Tanah,Bersama,Cemplung/Cubluk,Kolam/Sawah/Sungai/Danau/Laut,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Kurang Gizi,Gangguan Berat,Gangguan Ringan,Gangguan Ringan
3201011773000019,3201012010180007,Rahmat Putri,1962-12-18,64,Laki-laki,Istri,Belum Kawin,9261752.0,9261752.0,2,2,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,Jl. Raya Puputan No. 19,PBI APBD (Pemda),Tidak,Ya,Tidak Sekolah Lagi,SMP/MTs,SMP/MTs,Tidak,Jasa keuangan & asuransi,Pekerja bebas,532100000007,450 VA,Kontrak/Sewa,Semen/Bata Merah,Tembok,Genteng Tanah Liat,Mata Air Terlindung,Listrik Non PLN,Biogas,Bersama,Tidak Ada Kloset,Tangki Septik,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Wasting,Gangguan Ringan,Tidak Ada Gangguan,Gangguan Ringan
3201012573000020,3201012010180007,Teuku Wijaya,1986-02-19,40,Laki-laki,Kepala Keluarga,Belum Kawin,4280360.0,4280360.0,2,2,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,Jl. Raya Puputan No. 20,Bukan Penerima Bantuan,Tidak,Tidak,Tidak Sekolah Lagi,Sarjana (S1),Sarjana (S1),Ya,Transportasi & Pergudangan,Berusaha dibantu pekerja tidak tetap,532100000007,2200 VA,Bebas Sewa,Bambu,Seng,Seng,Mata Air Terlindung,Listrik PLN Dengan Meteran,Kayu Bakar,Sendiri,Plengsengan,Lubang Tanah,Ya,Tidak,Ya,Ya,Ya,Ya,Normal,Gangguan Ringan,Tidak Ada Gangguan,Gangguan Ringan
3201012492000021,3201012010180007,Sri Lestari,1973-01-08,53,Perempuan,Anak,Cerai Hidup,7158100.0,7158100.0,10,10,Bali,Kota Denpasar,Denpasar Selatan,Sidakarya,Jl. Raya Puputan No. 21,PBI APBD (Pemda),Tidak,Ya,Tidak Sekolah Lagi,SD/MI,SD/MI,Ya,Jasa keuangan & asuransi,Pekerja bebas,532100000007,900 VA,Milik Sendiri,Keramik,Kayu,Seng,Mata Air Terlindung,Listrik Non PLN,Minyak Tanah,Sendiri,Tidak Ada Kloset,Kolam/Sawah/Sungai/Danau/Laut,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Normal,Buta Total,Tuli Total,Gangguan Ringan
3201011870000022,3201012010180008,Teuku Kusuma,1998-10-19,28,Laki-laki,Kepala Keluarga,Cerai Hidup,14446846.0,14446846.0,5,5,DKI Jakarta,Jakarta Selatan,Cilandak,Cilandak Barat,Jl. Mawar No. 22,PBI APBD (Pemda),Tidak,Ya,Belum Sekolah,Diploma (D1-D4),Diploma (D1-D4),Tidak,"Pertanian, kehutanan, dan perikanan",Berusaha dibantu pekerja tidak tetap,532100000008,1300 VA,Dinas,Semen/Bata Merah,Bambu,Bambu/Ijuk,Air Kemasan/Isi Ulang,Listrik PLN Tanpa Meteran,Listrik,Tidak Ada,Tidak Ada Kloset,Kolam/Sawah/Sungai/Danau/Laut,Ya,Tidak,Ya,Tidak,Ya,Tidak,Wasting,Gangguan Berat,Tidak Ada Gangguan,Gangguan Ringan
3201012696000023,3201012010180008,Budi Suryani,1981-01-07,45,Laki-laki,Anak,Cerai Mati,5632950.0,5632950.0,9,9,DKI Jakarta,Jakarta Selatan,Cilandak,Cilandak Barat,Jl. Mawar No. 23,PBI APBD (Pemda),Tidak,Ya,Tidak Sekolah Lagi,Diploma (D1-D4),Diploma (D1-D4),Tidak,"Pertanian, kehutanan, dan perikanan",Buruh/Karyawan/Pegawai,532100000008,Tanpa PLN,Kontrak/Sewa,Tanah,Kayu,Seng,Mata Air Terlindung,Listrik PLN Dengan Meteran,Kayu Bakar,Tidak Ada,Leher Angsa,Lubang Tanah,Ya,Ya,Tidak,Ya,Ya,Tidak,Wasting,Gangguan Berat,Gangguan Ringan,Gangguan Ringan
3201012577000024,3201012010180008,Ahmad Nyak Dien,1979-04-20,47,Laki-laki,Istri,Kawin/Nikah,8680789.0,8680789.0,1,1,DKI Jakarta,Jakarta Selatan,Cilandak,Cilandak Barat,Jl. Mawar No. 24,PKH & BPNT,Tidak,Tidak,Belum Sekolah,SMA/SMK/MA,SMA/SMK/MA,Tidak,Jasa keuangan & asuransi,Berusaha dibantu pekerja tidak tetap,532100000008,3500 VA,Dinas,Semen/Bata Merah,Bambu,Beton,Mata Air Terlindung,Bukan Listrik,Minyak Tanah,Umum,Plengsengan,Lubang Tanah,Ya,Tidak,Ya,Tidak,Ya,Tidak,Kurang Gizi,Buta Total,Gangguan Ringan,Tidak Bisa Berjalan
3201011485000025,3201012010180009,Siti Nyak Dien,1987-10-11,39,Perempuan,Kepala Keluarga,Cerai Mati,4202999.0,4202999.0,7,7,Jawa Barat,Kota Bogor,Bogor Tengah,Paledang,Jl. Pajajaran No. 25,PBI APBD (Pemda),Tidak,Ya,Masih Sekolah,Diploma (D1-D4),Diploma (D1-D4),Tidak,Administrasi pemerintahan,Pekerja keluarga/tidak dibayar,532100000009,Tanpa PLN,Dinas,Tanah,Tembok,Seng,Air Hujan,Bukan Listrik,Listrik,Tidak Ada,Leher Angsa,Tangki Septik,Ya,Ya,Tidak,Ya,Ya,Tidak,Normal,Tidak Ada Gangguan,Gangguan Ringan,Tidak Ada Gangguan
