nomor_induk_kependudukan,nomor_kartu_keluarga,nama,tanggal_lahir,usia,jenis_kelamin,status_hubungan_keluarga,status_kawin,gaji_bulanan,gaji,desil_nasional,desil,provinsi,kabupaten_kota,kecamatan,kelurahan_desa,alamat,status_bantuan,pbi_nasional,pbi_pemda,partisipasi_sekolah,jenjang_tertinggi_yang_diduduki,ijazah_tertinggi_yang_dimiliki,status_bekerja,lapangan_usaha_dari_pekerjaan_utama,status_dalam_pekerjaan_utama,id_pelanggan_pln,daya_terpasang,status_kepemilikan_rumah,jenis_lantai_terluas,jenis_dinding_terluas,jenis_atap_terluas,sumber_air_minum_utama,sumber_penerangan_utama,bahan_bakar_utama_memasak,fasilitas_bab,jenis_kloset,pembuangan_akhir_tinja,kepemilikan_aset,aset_bergerak_sepeda_motor,aset_bergerak_mobil,aset_bergerak_tv_datar,aset_bergerak_smartphone,aset_bergerak_lemari_es,kondisi_gizi,penglihatan,pendengaran,berjalan_atau_naik_tangga
3201011370000001,3201012010180001,Hendra Kusuma,1974-03-24,52,Laki-laki,Kepala Keluarga,Kawin/Nikah,11229295.0,11229295.0,1,1,Jawa Barat,Kota Bogor,Bogor Tengah,Paledang,Jl. Pajajaran No. 1,PBI APBN (Kemenkes),Ya,Tidak,Tidak Sekolah Lagi,SMA/SMK/MA,SMA/SMK/MA,Ya,"Pertanian, kehutanan, dan perikanan",Buruh/Karyawan/Pegawai,532100000001,450 VA,Bebas Sewa,Keramik,Kayu,Genteng,Layanan Perpipaan (PDAM),Listrik PLN,Listrik,Sendiri,Leher Angsa,Tangki Septik,Ya,Tidak,Ya,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201011592000002,3201012010180001,Irfan Putri,1977-03-07,49,Laki-laki,Istri,Kawin/Nikah,2552944.0,2552944.0,6,6,Jawa Barat,Kota Bogor,Bogor Tengah,Paledang,Jl. Pajajaran No. 2,PKH & BPNT,Tidak,Tidak,Tidak Sekolah Lagi,Sarjana (S1),Sarjana (S1),Ya,Perdagangan besar dan eceran,Pekerja bebas,532100000001,2200 VA,Bebas Sewa,Keramik,Kayu,Genteng,Sumur Bor/Pompa,Listrik PLN,LPG 5.5 kg / 12 kg,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Tidak,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201012188000003,3201012010180001,Rahmat Umar,1962-11-08,64,Laki-laki,Anak,Belum Kawin,2503445.0,2503445.0,7,7,Jawa Barat,Kota Bogor,Bogor Tengah,Paledang,Jl. Pajajaran No. 3,PKH & BPNT,Tidak,Tidak,Tidak Sekolah Lagi,Magister (S2),Magister (S2),Ya,Jasa keuangan & asuransi,Buruh/Karyawan/Pegawai,532100000001,1300 VA,Kontrak/Sewa,Keramik,Kayu,Asbes,Sumur Bor/Pompa,Listrik PLN,Listrik,Sendiri,Leher Angsa,Tangki Septik,Ya,Tidak,Tidak,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201012793000004,3201012010180002,Rina Sartika,1989-07-09,37,Perempuan,Kepala Keluarga,Kawin/Nikah,7042265.0,7042265.0,1,1,Jawa Barat,Kota Bandung,Coblong,Dago,Jl. Ganesha No. 4,PBI APBD (Pemda),Tidak,Ya,Tidak Sekolah Lagi,SMA/SMK/MA,SMA/SMK/MA,Ya,Jasa keuangan & asuransi,Berusaha sendiri,532100000002,1300 VA,Milik Sendiri,Keramik,Kayu,Genteng,Sumur Bor/Pompa,Listrik PLN,LPG 5.5 kg / 12 kg,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Tidak,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201012474000005,3201012010180002,Hendra Nyak Dien,1975-12-18,51,Laki-laki,Istri,Kawin/Nikah,18031484.0,18031484.0,6,6,Jawa Barat,Kota Bandung,Coblong,Dago,Jl. Ganesha No. 5,PBI APBD (Pemda),Tidak,Ya,Tidak Sekolah Lagi,Diploma (D1-D4),Diploma (D1-D4),Ya,Konstruksi,Berusaha sendiri,532100000002,450 VA,Milik Sendiri,Keramik,Tembok,Asbes,Air Kemasan/Isi Ulang,Listrik PLN,Listrik,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Ya,Ya,Ya,Tidak,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201012289000006,3201012010180002,Ahmad Setiawan,1995-01-22,31,Laki-laki,Anak,Belum Kawin,9704433.0,9704433.0,6,6,Jawa Barat,Kota Bandung,Coblong,Dago,Jl. Ganesha No. 6,PBI APBN (Kemenkes),Ya,Tidak,Tidak Sekolah Lagi,Sarjana (S1),Sarjana (S1),Ya,Industri pengolahan,Buruh/Karyawan/Pegawai,532100000002,1300 VA,Bebas Sewa,Keramik,Tembok,Asbes,Layanan Perpipaan (PDAM),Listrik PLN,Listrik,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Ya,Ya,Ya,Tidak,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201012194000007,3201012010180003,Anisa Santoso,1998-06-16,28,Perempuan,Kepala Keluarga,Kawin/Nikah,8244903.0,8244903.0,4,4,Jawa Tengah,Kota Semarang,Semarang Selatan,Randusari,Jl. Pandanaran No. 7,PBI APBN (Kemenkes),Ya,Tidak,Tidak Sekolah Lagi,Diploma (D1-D4),Diploma (D1-D4),Ya,Konstruksi,Buruh/Karyawan/Pegawai,532100000003,450 VA,Bebas Sewa,Ubin/Teraso,Tembok,Asbes,Air Kemasan/Isi Ulang,Listrik PLN,LPG 3 kg,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Ya,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201011578000008,3201012010180003,Agus Kurniawan,1973-09-25,53,Laki-laki,Istri,Kawin/Nikah,7814865.0,7814865.0,8,8,Jawa Tengah,Kota Semarang,Semarang Selatan,Randusari,Jl. Pandanaran No. 8,Bukan Penerima Bantuan,Tidak,Tidak,Tidak Sekolah Lagi,Magister (S2),Magister (S2),Ya,Perdagangan besar dan eceran,Buruh/Karyawan/Pegawai,532100000003,900 VA,Milik Sendiri,Ubin/Teraso,Tembok,Asbes,Sumur Bor/Pompa,Listrik PLN,LPG 3 kg,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Tidak,Ya,Ya,Tidak,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201011177000009,3201012010180003,Teuku Rahmawati,1981-02-17,45,Laki-laki,Anak,Belum Kawin,3684009.0,3684009.0,10,10,Jawa Tengah,Kota Semarang,Semarang Selatan,Randusari,Jl. Pandanaran No. 9,Bukan Penerima Bantuan,Tidak,Tidak,Tidak Sekolah Lagi,Magister (S2),Magister (S2),Tidak,Industri pengolahan,Berusaha sendiri,532100000003,900 VA,Milik Sendiri,Keramik,Kayu,Seng,Layanan Perpipaan (PDAM),Listrik PLN,LPG 5.5 kg / 12 kg,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Tidak,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
3201011371000010,3201012010180004,Yuni Putri,1966-04-07,60,Perempuan,Kepala Keluarga,Kawin/Nikah,11675934.0,11675934.0,3,3,Jawa Timur,Kota Surabaya,Tegalsari,Kedungdoro,Jl. Basuki Rahmat No. 10,PKH & BPNT,Tidak,Tidak,Tidak Sekolah Lagi,Magister (S2),Magister (S2),Ya,"Pertanian, kehutanan, dan perikanan",Buruh/Karyawan/Pegawai,532100000004,2200 VA,Bebas Sewa,Keramik,Tembok,Asbes,Sumur Bor/Pompa,Listrik PLN,LPG 3 kg,Sendiri,Leher Angsa,Tangki Septik,Ya,Ya,Ya,Ya,Ya,Ya,Normal,Tidak Ada Gangguan,Tidak Ada Gangguan,Tidak Ada Gangguan
